11-1011.00;0.72;Direct financial operations;Direct organizational operations, projects, or services;Prepare staff schedules or work assignments;Analyze data to assess operational or project effectiveness;Develop organizational policies or programs;Implement organizational process or policy changes;Direct sales, marketing, or customer service activities;Confer with organizational members to accomplish work activities;Prepare operational budgets;Resolve employee or contractor problems;Manage human resources activities;Negotiate contracts for transportation, distribution, or logistics services;Coordinate with external parties to exchange information;Analyze data to inform operational decisions or activities;Direct administrative or support services;Present information to the public;Communicate organizational policies and procedures;Advise others on legal or regulatory compliance matters;Analyze impact of legal or regulatory changes;Manage construction activities;Prepare financial documents, reports, or budgets;Prepare operational progress or status reports;Draft legislation or regulations;Liaise between departments or other groups to improve function or communication;Represent the organization in external relations;Promote products, services, or programs;Coordinate special events or programs;;;;;;;;;;
11-2011.00;0.473;Develop promotional materials;Examine marketing materials to ensure compliance with policies or regulations;Prepare operational budgets;Confer with organizational members to accomplish work activities;Coordinate operational activities with external stakeholders;Evaluate employee performance;Supervise employees;Direct organizational operations, projects, or services;Direct financial operations;Direct sales, marketing, or customer service activities;Develop marketing plans or strategies;Compile operational data;Conduct opinion surveys or needs assessments;Coordinate special events or programs;Implement organizational process or policy changes;Monitor performance of organizational members or partners;Negotiate sales or lease agreements for products or services;Prepare financial documents, reports, or budgets;Create marketing materials;Advise others on business or operational matters;Conduct employee training programs;Establish interpersonal business relationships to facilitate work activities;Analyze data to assess operational or project effectiveness;Promote products, services, or programs;Manage organizational or project budgets;Advise customers on technical or procedural issues;Represent the organization in external relations;Manage operations, research, or logistics projects;Maintain knowledge of current developments in area of expertise;;;;;;;;
11-3021.00;0.714;Develop computer or information systems;Coordinate operational activities with external stakeholders;Develop organizational goals or objectives;Analyze data to inform operational decisions or activities;Confer with organizational members to accomplish work activities;Direct organizational operations, projects, or services;Resolve employee or contractor problems;Manage operations, research, or logistics projects;Evaluate employee performance;Advise customers on technical or procedural issues;Conduct employee training programs;Hire personnel;Maintain knowledge of current developments in area of expertise;Recruit personnel;Determine resource needs;Develop operating strategies, plans, or procedures;Develop organizational policies or programs;Recommend organizational process or policy changes;Prepare operational progress or status reports;Analyze data to determine project feasibility;Manage organizational or project budgets;Purchase materials, equipment, or other resources;;;;;;;;;;;;;;;
11-3121.00;0.292;Liaise between departments or other groups to improve function or communication;Advise others on legal or regulatory compliance matters;Recommend organizational process or policy changes;Administer compensation or benefits programs;Analyze data to inform operational decisions or activities;Manage human resources activities;Hire personnel;Represent the organization in external relations;Interview employees, customers, or others to collect information;Negotiate labor disputes;Recruit personnel;Supervise employees;Communicate organizational policies and procedures;Estimate labor requirements;Investigate industrial or transportation accidents;Prepare reports related to compliance matters;Analyze data to inform personnel decisions;Conduct employee training programs;Maintain knowledge of current developments in area of expertise;Compile operational data;Maintain personnel records;Prepare operational budgets;Coordinate special events or programs;Negotiate sales or lease agreements for products or services;Advise others on career or personal development;;;;;;;;;;;;
13-1121.00;0.149;Correspond with customers to answer questions or resolve complaints;Authorize financial actions;Verify accuracy of records;Organize special events;Confer with personnel to coordinate business operations;Inspect facilities or equipment to ensure specifications are met;Prepare financial documents;Monitor organizational compliance with regulations;Conduct eligibility or selection interviews;Negotiate contracts with clients or service providers;Develop financial or business plans;Conduct surveys in organizations;Supervise employees;Train personnel to enhance job skills;Oversee business processes;Confer with others about financial matters;Create marketing materials;Market products, services, or events;Update professional knowledge;Obtain documentation to authorize activities;;;;;;;;;;;;;;;;;
13-2011.01;0.397;Examine financial records or processes;Maintain data in information systems or databases;Analyze business or financial data;Examine financial records;Prepare financial documents;Analyze budgetary or accounting data;Analyze financial information;Conduct financial or regulatory audits;Calculate tax information;Prepare financial documents, reports, or budgets;Advise others on human resources topics;Report information to managers or other personnel;Develop business or financial information systems;Advise others on financial matters;Supervise employees;Appraise property values;Evaluate condition of properties;Monitor inventories of products or materials;Identify opportunities to improve operational efficiency;;;;;;;;;;;;;;;;;;
15-1132.00;0.813;Modify software programs to improve performance;Analyze project data to determine specifications or requirements;Collaborate with others to determine design specifications or details;Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields;Assess database performance;Design software applications;Prepare data for analysis;Develop testing routines or procedures;Manage information technology projects or system activities;Provide technical support for software maintenance or use;Supervise information technology personnel;Develop performance metrics or standards related to information technology;Coordinate software or hardware installation;Monitor computer system performance to ensure proper operation;Teach others to use computer equipment or hardware;Document technical specifications or requirements;Provide recommendations to others about computer hardware;;;;;;;;;;;;;;;;;;;;
17-1011.00;0.714;Create graphical representations of structures or landscapes;Incorporate green features into the design of structures or facilities;Direct design or development activities;Prepare contracts, disclosures, or applications;Document technical design details;Discuss designs or plans with clients;Design structures or facilities;Inspect facilities or sites to determine if they meet specifications or standards;Perform marketing activities;Prepare detailed work plans;Supervise engineering or other technical personnel;Investigate the environmental impact of projects;Design water conservation systems;Prepare procedural documents;Analyze costs and benefits of proposed designs or projects;;;;;;;;;;;;;;;;;;;;;;
19-3031.02;0.311;Counsel clients on mental health or personal achievement;Diagnose neural or psychological disorders;Confer with clients to exchange information;Prepare scientific or technical reports or presentations;Advise others on healthcare matters;Collect information from people through observation, interviews, or surveys;Collect archival data;Administer standardized physical or psychological tests;Design psychological or educational treatment procedures or programs;Direct medical science or healthcare programs;Review professional literature to maintain professional knowledge;Supervise trainees;Develop educational programs;Plan social sciences research;;;;;;;;;;;;;;;;;;;;;;;
23-1011.00;0.626;Identify implications for cases from legal precedents or other legal information;Provide legal advice to clients;Represent the interests of clients in legal proceedings;Interview claimants to get information related to legal proceedings;Meet with individuals involved in legal processes to provide information and clarify issues;Research relevant legal materials to aid decision making;Prepare legal documents;Arbitrate disputes between parties to resolve legal conflicts;Supervise activities of other legal personnel;Prepare documentation of legal proceedings;Evaluate information related to legal matters in public or personal records;Draft legislation or regulations;;;;;;;;;;;;;;;;;;;;;;;;;
25-2012.00;0.023;Establish rules or policies governing student behavior;Encourage students;Modify teaching methods or materials to accommodate student needs;Teach life skills;Apply multiple teaching methods;Evaluate student work;Monitor student behavior, social development, or health;Monitor student performance;Advise students on academic or career matters;Read to students;Discuss problems or issues with supervisors;Discuss student progress with parents or guardians;Set up classroom materials or equipment;Develop strategies or programs for students with special needs;Maintain student records;Prepare reports detailing student activities or performance;Plan educational activities;Develop instructional objectives;Create technology-based learning materials;Assist students with special educational needs;Teach others to use technology or equipment;Provide for basic needs of children;Collaborate with other teaching professionals to develop educational programs;Administer tests to assess educational needs or progress;Arrange childcare or educational settings to ensure physical safety of children;Prepare tests;Display student work;Document lesson plans;Plan experiential learning activities;Evaluate performance of educational staff;Supervise student research or internship work;Attend training sessions or professional meetings to develop or maintain professional knowledge;Serve on institutional or departmental committees;Distribute instructional or library materials;Maintain inventories of materials, equipment, or products;Order instructional or library materials or equipment;Supervise school or student activities
25-2021.00;0.207;Establish rules or policies governing student behavior;Apply multiple teaching methods;Modify teaching methods or materials to accommodate student needs;Discuss problems or issues with supervisors;Discuss student progress with parents or guardians;Set up classroom materials or equipment;Encourage students;Evaluate student work;Develop instructional objectives;Monitor student performance;Advise students on academic or career matters;Monitor student behavior, social development, or health;Enforce rules or policies governing student behavior;Read to students;Plan educational activities;Assist students with special educational needs;Collaborate with other teaching professionals to develop educational programs;Develop strategies or programs for students with special needs;Administer tests to assess educational needs or progress;Prepare tests;Create technology-based learning materials;Maintain student records;Assign class work to students;Teach others to use technology or equipment;Attend training sessions or professional meetings to develop or maintain professional knowledge;Document lesson plans;Prepare reports detailing student activities or performance;Display student work;Evaluate performance of educational staff;Supervise student research or internship work;Plan experiential learning activities;Serve on institutional or departmental committees;Supervise school or student activities;Distribute instructional or library materials;Maintain inventories of materials, equipment, or products;Order instructional or library materials or equipment;Coordinate student extracurricular activities
27-1013.00;0.481;Develop artistic or design concepts for decoration, exhibition, or commercial purposes;Build models, patterns, or templates;Construct distinctive physical objects for artistic, functional, or commercial purposes;Arrange artwork, products, or props;Draw detailed or technical illustrations;Collaborate with others to determine technical details of productions;Prepare materials for preservation, storage, or display;Present work to clients for approval;Send information, materials or documentation;Conduct research to inform art, designs, or other work;Coordinate logistics for productions or events;Maintain records, documents, or other files;Estimate costs for projects or productions;Perform marketing activities;Research new technologies;Collaborate with others to prepare or perform artistic productions;Apply finishes to artwork, crafts, or displays;Monitor current trends;Operate still or video cameras or related equipment;Teach classes in area of specialization;Determine technical requirements of productions or projects;Create computer-generated graphics or animation;Entertain public with comedic or dramatic performances;;;;;;;;;;;;;;
27-1025.00;0.472;Plan facility layouts or designs;Coordinate construction or installation activities;Inspect facilities or sites to determine if they meet specifications or standards;Draw detailed or technical illustrations;Confer with clients to determine needs;Estimate costs for projects or productions;Present work to clients for approval;Review details of technical drawings or specifications;Conduct research to inform art, designs, or other work;Incorporate green features into the design of structures or facilities;Maintain inventories of materials, equipment, or products;Select materials or props;Develop artistic or design concepts for decoration, exhibition, or commercial purposes;;;;;;;;;;;;;;;;;;;;;;;;
27-2012.05;0.702;Direct productions or performances;Operate control consoles for sound, lighting or video;Determine technical requirements of productions or projects;Manage content of broadcasts or presentations;Coordinate activities of production personnel;Monitor broadcasting operations to ensure proper functioning;Create computer-generated graphics or animation;Operate communications, transmissions, or broadcasting equipment;Inspect communications or broadcasting equipment;Train others on work processes;Coordinate logistics for productions or events;Collaborate with others to determine technical details of productions;;;;;;;;;;;;;;;;;;;;;;;;;
27-2022.00;0.636;Coordinate athletic or sporting events or activities;Train others on performance techniques;Coach others;Select staff, team members, or performers;Evaluate skills of athletes or performers;Coordinate logistics for productions or events;Maintain knowledge of laws or regulations;Provide educational information to the public;Maintain records, documents, or other files;Manage operations of artistic or entertainment departments or organizations;Maintain inventories of materials, equipment, or products;Select materials or props;Promote products, activities, or organizations;Negotiate for services;;;;;;;;;;;;;;;;;;;;;;;
27-3022.00;0.447;Analyze information obtained from news sources;Gather information for news stories;Coordinate logistics for productions or events;Edit written materials;Report news to the public;Determine presentation subjects or content;Operate communications, transmissions, or broadcasting equipment;Edit audio or video recordings;Coordinate reporting or editing activities;Operate still or video cameras or related equipment;Inform viewers, listeners, or audiences;Interview others for news or entertainment purposes;Monitor current trends;Write informational material;;;;;;;;;;;;;;;;;;;;;;;
29-1123.00;0.318;Develop medical treatment plans;Record patient medical histories;Analyze patient data to determine patient needs or treatment goals;Examine patients to assess general physical condition;Evaluate patient outcomes to determine effectiveness of treatments;Monitor patient progress or responses to treatments;Enter patient or treatment data into computers;Establish treatment goals;Process healthcare paperwork;Test patient heart or lung functioning;Refer patients to other healthcare practitioners or health resources;Train patients, family members, or caregivers in techniques for managing disabilities or illnesses;Treat patients using physical therapy techniques;Communicate detailed medical information to patients or family members;Supervise medical support personnel;Explain medical procedures or test results to patients or family members;Collaborate with healthcare professionals to plan or provide treatment;Communicate health and wellness information to the public;Operate diagnostic or therapeutic medical instruments or equipment;Train medical providers;Adjust prostheses or other assistive devices;Advise medical personnel regarding healthcare issues;Conduct research to increase knowledge about medical issues;Direct healthcare delivery programs;Fabricate medical devices;;;;;;;;;;;;
29-1141.00;0.101;Maintain medical facility records;Monitor patient conditions during treatments, procedures, or activities;Administer non-intravenous medications;Inform medical professionals regarding patient conditions and care;Record patient medical histories;Administer anesthetics or sedatives to control pain;Collaborate with healthcare professionals to plan or provide treatment;Evaluate patient outcomes to determine effectiveness of treatments;Immunize patients;Treat acute illnesses, infections, or injuries;Supervise patient care personnel;Assist healthcare practitioners during surgery;Assist healthcare practitioners during examinations or treatments;Prepare patients physically for medical procedures;Test biological specimens to gather information about patient conditions;Design public or employee health programs;Communicate health and wellness information to the public;Assess patient work, living, or social environments;Advise medical personnel regarding healthcare issues;Direct healthcare delivery programs;Conduct research to increase knowledge about medical issues;Prescribe assistive medical devices or related treatments;Prescribe medications;Maintain inventory of medical supplies or equipment;Prepare medical supplies or equipment for use;Analyze test data or images to inform diagnosis or treatment;Diagnose medical conditions;Examine patients to assess general physical condition;Manage healthcare operations;Order medical diagnostic or clinical tests;Treat medical emergencies;Train caregivers or other non-medical personnel;Refer patients to other healthcare practitioners or health resources;Advise communities or institutions regarding health or safety issues;;;
31-9096.00;0.158;Hold patients to ensure proper positioning or safety;Clean patient rooms or patient treatment rooms;Control prescription refills or authorizations;Assist practitioners to perform medical procedures;Give medications or immunizations;Monitor patient progress or responses to treatments;Monitor patients to detect health problems;Clean medical equipment;Maintain medical equipment or instruments;Assess physical conditions of patients to aid in diagnosis or treatment;Teach medical procedures or medical equipment use to patients;Collect biological specimens from patients;Prepare medical instruments or equipment for use;Administer basic health care or medical treatments;Feed patients;Conduct diagnostic tests to determine patient health;Assist patients with daily activities;Prepare patient treatment areas for use;Stock medical or patient care supplies;Dispose of biomedical waste in accordance with standards;Perform clerical work in medical settings;Record vital statistics or other health information;Schedule patient procedures or appointments;Inventory medical supplies or equipment;Process medical billing information;Prepare medical reports or documents;;;;;;;;;;;
33-2011.01;0.965;Rescue people from hazardous situations;Administer first aid;Assess characteristics of fires;Locate fires or fire danger areas;Relay information about incidents or emergencies to personnel using phones or two-way radios;Respond to emergencies to provide assistance;Operate firefighting equipment;Protect property from fire or water damage;Examine debris to obtain information about causes of fires;Prepare hoses or water supplies to fight fires;Collaborate with law enforcement or security agencies to respond to incidents;Prepare investigation or incident reports;Educate the public about fire safety or prevention;Participate in physical training to maintain fitness;Maintain fire fighting tools or equipment;Attend training to learn new skills or update knowledge;Block physical access to restricted areas;Inspect equipment to ensure safety or proper functioning;Inspect facilities to ensure compliance with fire regulations;;;;;;;;;;;;;;;;;;
33-3021.01;0.768;Testify at legal or legislative proceedings;Check physical condition of people or animals;Interview people to gather information about criminal activities;Examine crime scenes to obtain evidence;Prepare investigation or incident reports;Prevent unauthorized individuals from entering restricted areas;Record information about suspects or criminals;Analyze crime scene evidence;Document legal or regulatory information;Process forensic or legal evidence in accordance with procedures;Record crime or accident scene evidence with video or still cameras;Examine records or other types of data to investigate criminal activities;Detain suspects or witnesses;Use databases to locate investigation details or other information;Communicate situation details to appropriate personnel;Observe individuals' activities to gather information or compile evidence;Serve court ordered documents;Apprehend criminal suspects;Direct criminal investigations;Request emergency personnel;Block physical access to restricted areas;Maintain surveillance of individuals or establishments;Record information about environmental conditions;Collaborate with law enforcement or security agencies to share information;Collaborate with outside groups to develop programs or projects;;;;;;;;;;;;
35-1011.00;0.803;Check quality of foods or supplies;Estimate supplies, ingredients, or staff requirements for food preparation activities;Train food preparation or food service personnel;Coordinate activities of food service staff;Inspect facilities, equipment or supplies to ensure conformance to standards;Order materials, supplies, or equipment;Coordinate timing of food production activities;Create new recipes or food presentations;Manage food service operations or parts of operations;Determine prices for menu items;Cook foods;Perform human resources activities;Plan menu options;Schedule equipment maintenance;Communicate with customers to resolve complaints or ensure satisfaction;Plan special events;Record operational or production data;;;;;;;;;;;;;;;;;;;;
37-2012.00;0.12;Clean equipment or supplies;Clean facilities or sites;Clean furniture or fixtures;Dispose of trash or waste materials;Monitor building premises to ensure occupant or visitor safety;Inventory materials or equipment;Clean building walls or flooring;Move furniture;Decorate indoor or outdoor spaces;Remove debris from work sites;Select equipment, materials, or supplies for cleaning or maintenance activities;Instruct staff in work policies or procedures;Plan employee work schedules;Maintain equipment or systems to ensure proper functioning;;;;;;;;;;;;;;;;;;;;;;;
39-5012.00;0.074;Clean facilities or work areas;Clean tools or equipment;Apply solutions to hair for therapeutic or cosmetic purposes;Groom wigs or hairpieces;Trim client hair;Schedule appointments;Demonstrate activity techniques or equipment use;Maintain client information or service records;Promote products, services, or programs;Sell products or services;Assess skin or hair conditions;Supervise service workers;Train service staff;Apply cleansing or conditioning agents to client hair, scalp, or skin;Administer therapeutic massages;Provide medical or cosmetic advice for clients;Order materials, supplies, or equipment;Set up merchandise displays;Administer basic health care or medical treatments;Design costumes or cosmetic effects for characters;Treat nails by shaping, decorating, or augmenting;;;;;;;;;;;;;;;;
39-7012.00;0.536;Organize recreational activities or events;Sell products or services;Resolve customer complaints or problems;Arrange services or reservations for patrons;Provide attraction or event information to patrons;Guide patrons on tours;Monitor availability of equipment or supplies;Maintain financial or account records;Manage budgets for personal services operations;Assist individuals with special needs;Administer first aid;Drive vehicles to transport patrons;Prepare foods or meals;Demonstrate activity techniques or equipment use;Explain regulations, policies, or procedures;;;;;;;;;;;;;;;;;;;;;;
39-9021.00;0.163;Administer basic health care or medical treatments;Document client health or progress;Maintain client information or service records;Monitor health or behavior of people or animals;Develop plans for programs or services;Provide counsel, comfort, or encouragement to individuals or families;Prepare foods or meals;Drive vehicles to transport patrons;Perform housekeeping duties;Teach health or hygiene practices;Assist individuals with special needs;;;;;;;;;;;;;;;;;;;;;;;;;;
41-2011.00;0.273;Reconcile records of sales or other financial transactions;Process sales or other transactions;Answer customer questions about goods or services;Explain technical product or service information to customers;Calculate costs of goods or services;Maintain records of sales or other business transactions;Issue money, credit, or vouchers;Provide customers with general information or assistance;Monitor sales activities;Greet customers, patrons, or visitors;Supervise sales or support personnel;Train sales personnel;Clean work areas;Answer telephones to direct calls or provide information;Sell products or services;Stock products or parts;;;;;;;;;;;;;;;;;;;;;
41-9041.00;0.306;Contact current or potential customers to promote products or services.See more occupations related to this activity.;Answer customer questions about goods or services.See more occupations related to this activity.;Deliver promotional presentations to current or prospective customers.See more occupations related to this activity.;Explain technical product or service information to customers.See more occupations related to this activity.;Maintain records of customer accounts.See more occupations related to this activity.;Develop content for sales presentations or other materials.See more occupations related to this activity.;Identify potential customers.See more occupations related to this activity.;Schedule appointments with prospective customers.See more occupations related to this activity.;Monitor market conditions or trends.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43-4171.00;0.09;Schedule appointments.See more occupations related to this activity.;Answer telephones to direct calls or provide information.See more occupations related to this activity.;Greet customers, patrons, or visitors.See more occupations related to this activity.;File documents or records.See more occupations related to this activity.;Respond to customer problems or complaints.See more occupations related to this activity.;Send information, materials or documentation.See more occupations related to this activity.;Collect deposits, payments or fees.See more occupations related to this activity.;Operate computers or computerized equipment.See more occupations related to this activity.;Proofread documents, records, or other files to ensure accuracy.See more occupations related to this activity.;Calculate costs of goods or services.See more occupations related to this activity.;Analyze operational or research data.See more occupations related to this activity.;Distribute incoming mail.See more occupations related to this activity.;Sort mail.See more occupations related to this activity.;Prepare business correspondence.See more occupations related to this activity.;Discuss goods or services information with customers or patrons.See more occupations related to this activity.;Record personnel information.See more occupations related to this activity.;Order materials, supplies, or equipment.See more occupations related to this activity.;Clean facilities or equipment.See more occupations related to this activity.;Schedule operational activities.See more occupations related to this activity.;Provide notifications to customers or patrons.;;;;;;;;;;;;;;;;;
43-6014.00;0.05;Answer telephones to direct calls or provide information;Discuss account status or activity with customers or patrons;Greet customers, patrons, or visitors;Refer customers to appropriate personnel;Execute sales or other financial transactions;Enter information into databases or software programs;Operate computers or computerized equipment;Collect deposits, payments or fees;Operate office equipment;Report maintenance or equipment problems to appropriate personnel;Record personnel information;Select resources needed to accomplish tasks;Operate communications equipment or systems;Schedule appointments;Distribute materials to employees or customers;Issue documentation or identification to customers or employees;Record information from meetings or other formal proceedings;Prepare documentation for contracts, transactions, or regulatory compliance;Order materials, supplies, or equipment;Develop organizational policies or programs;Prepare employee work schedules;Send information, materials or documentation;Make travel, accommodations, or entertainment arrangements for others;Schedule operational activities;Distribute incoming mail;Proofread documents, records, or other files to ensure accuracy;Route mail to correct destinations;Search files, databases or reference materials to obtain needed information;Supervise clerical or administrative personnel;Manage clerical or administrative activities;Coordinate operational activities;Maintain current knowledge related to work activities;Train personnel;Prepare informational or reference materials;Develop computer or online applications;;
47-2031.01;0.978;Clean work sites;Review blueprints or specifications to determine work requirements;Mark reference points on construction materials;Measure materials or objects for installation or assembly;Cut wood components for installation;Install wooden structural components;Install building fixtures;Install doors or windows;Verify alignment of structures or equipment;Order construction or extraction materials or equipment;Select construction materials;Coordinate construction project activities;Prepare operational reports;Estimate construction project costs;Assemble temporary equipment or structures;Inspect work sites to determine condition or necessary repairs;Remove worn, damaged or outdated materials from work areas;Build construction forms or molds;Apply decorative or textured finishes or coverings;Prepare hazardous waste for processing or disposal;Install trim or paneling;Apply material to fill gaps in surfaces;Install carpet or flooring;Mix substances or compounds needed for work activities;Weld metal components;;;;;;;;;;;;
47-2111.00;0.975;Plan layout of construction, installation, or repairs;Install electrical components, equipment, or systems;Test electrical equipment or systems to ensure proper functioning;Inspect electrical or electronic systems for defects;Create construction or installation diagrams;Repair electrical equipment;Communicate with other construction or extraction personnel to discuss project details;Thread wire or cable through ducts or conduits;Update job related knowledge or skills;Direct construction or extraction personnel;Train construction or extraction personnel;Assist skilled construction or extraction personnel;Order construction or extraction materials or equipment;Prepare operational reports;Estimate construction project costs;Fabricate parts or components;Dig holes or trenches;;;;;;;;;;;;;;;;;;;;
51-3011.00;0.399;Evaluate quality of food ingredients or prepared foods;Adjust temperature controls of ovens or other heating equipment;Load materials into production equipment;Operate cooking, baking, or other food preparation equipment;Inspect food products;Measure ingredients or substances to be used in production processes;Clean production equipment;Maintain production or processing equipment;Monitor equipment operation to ensure proper functioning;Determine food production methods;Apply protective or decorative finishes to workpieces or products;Operate cutting equipment;Shape clay or dough to create products;Direct operational or production activities;Order materials, supplies, or equipment;Record operational or production data;;;;;;;;;;;;;;;;;;;;;
51-3021.00;0.757;Prepare meat products for sale or consumption;Mark products, workpieces, or equipment with identifying information;Weigh finished products;Cut meat products;Inspect food products;Estimate material requirements for production;Order materials, supplies, or equipment;Record operational or production data;Direct operational or production activities;Load items into ovens or furnaces;Confer with customers or designers to determine order specifications;;;;;;;;;;;;;;;;;;;;;;;;;;
51-4111.00;0.968;Measure dimensions of completed products or workpieces to verify conformance to specifications;Operate grinding equipment;Operate metal or plastic forming equipment;Review blueprints or other instructions to determine operational methods or sequences;Calculate dimensions of workpieces, products, or equipment;Inspect metal, plastic, or composite products;Assemble machine tools, parts, or fixtures;Smooth metal surfaces or edges;Conduct test runs of production equipment;Lift materials or workpieces using cranes or other lifting equipment;Mount materials or workpieces onto production equipment;Select production input materials;Polish materials, workpieces, or finished products;Design tools, fixtures, or other devices for production equipment;Drill holes in parts, equipment, or materials;Measure materials to mark reference points, cutting lines, or other indicators;Adjust temperature controls of ovens or other heating equipment;Feed materials or products into or through equipment;Cut industrial materials in preparation for fabrication or processing;Shape metal workpieces with hammers or other small hand tools;;;;;;;;;;;;;;;;;
51-8093.00;0.962;Monitor equipment operation to ensure proper functioning;Adjust equipment controls to regulate flow of water, cleaning solutions, or other liquids;Operate pumping systems or equipment;Operate energy distribution equipment;Signal others to coordinate work activities;Watch operating equipment to detect malfunctions;Plan production or operational procedures or sequences;Study blueprints or other instructions to determine equipment setup requirements;Direct operational or production activities;Record operational or production data;Test chemical or physical characteristics of materials or products;Monitor equipment fluid levels;Maintain production or processing equipment;Notify others of equipment repair or maintenance needs;Repair production equipment or tools;Collect samples of materials or products for testing;Inspect production equipment;Lubricate production equipment;Clean production equipment;Analyze test results;Clean work areas;;;;;;;;;;;;;;;;
53-3032.00;0.918;Inspect motor vehicles;Follow safety procedures for vehicle operation;Inspect cargo to ensure it is properly loaded or secured;Record operational or production data;Record service or repair activities;Operate vehicles or material-moving equipment;Secure cargo;Monitor cargo area conditions;Notify others of emergencies, problems, or hazards;Report vehicle or equipment malfunctions;Collect fares or payment from customers;Review documents or materials for compliance with policies or regulations;Review work orders or schedules to determine operations or procedures;Verify information or specifications;Connect cables or electrical lines;Inspect cargo areas for cleanliness or condition;Maintain vehicles in good working condition;Read maps to determine routes;Acquire supplies or equipment;Package materials or products;Operate communications equipment or systems;Adjust routes or speeds as necessary;Choose optimal transportation routes or speeds;Load shipments, belongings, or materials;Remove debris or damaged materials;Install parts, assemblies, or attachments in transportation or material handling equipment;Direct material handling or moving activities;;;;;;;;;;
53-3041.00;0.811;Follow safety procedures for vehicle operation;Inspect motor vehicles;Drive passenger vehicles;Report vehicle or equipment malfunctions;Assist passengers during vehicle boarding;Prepare accident or incident reports;Maintain vehicles in good working condition;Communicate with others to coordinate vehicle movement;Schedule operational activities;Record operational details of travel;Clean vehicles or vehicle components;Receive information or instructions for performing work assignments;Collect fares or payment from customers;Provide transportation information to passengers or customers;Move materials, equipment, or supplies;;;;;;;;;;;;;;;;;;;;;;
53-7081.00;0.883;Inspect motor vehicles;Operate cranes, hoists, or other moving or lifting equipment;Operate vehicles or material-moving equipment;Operate packing or other material processing equipment;Climb ladders or vehicles to perform duties;Maintain vehicles in good working condition;Prepare accident or incident reports;Notify others of emergencies, problems, or hazards;Report vehicle or equipment malfunctions;Clean vehicles or vehicle components;Load shipments, belongings, or materials;Schedule operational activities;Sort materials or objects for processing or transport;Explain regulations, policies, or procedures;;;;;;;;;;;;;;;;;;;;;;;
